horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L387,14/04/2026,快操,從化,全天候,從化 全天候,,56.3,56.3,30.2 26.1,,助手,,快操,,30.2 26.1 (56.3) (助手)
L387,14/04/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,13/04/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,13/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,13/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,12/04/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,12/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,12/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,11/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,11/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,10/04/2026,游水,從化,,從化,,,,,,,,游水,,
