date,venue,race_no,video_full_url,video_passthrough_url,video_aerial_url
2019-03-24,沙田,1,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=01&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=1&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=01&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=1&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=01&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=1&pageid=racing/local
2019-03-24,沙田,2,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=02&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?RaceNo=2&racedate=2019/03/24&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=02&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?RaceNo=2&racedate=2019/03/24&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=02&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?RaceNo=2&racedate=2019/03/24&pageid=racing/local
2019-03-24,沙田,3,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=03&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=3&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=03&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=3&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=03&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=3&pageid=racing/local
2019-03-24,沙田,4,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=04&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=4&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=04&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=4&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=04&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=4&pageid=racing/local
2019-03-24,沙田,5,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=05&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?RaceNo=5&racedate=2019/03/24&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=05&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?RaceNo=5&racedate=2019/03/24&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=05&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?RaceNo=5&racedate=2019/03/24&pageid=racing/local
2019-03-24,沙田,6,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=06&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=6&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=06&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=6&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=06&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=6&pageid=racing/local
2019-03-24,沙田,7,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=07&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=7&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=07&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=7&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=07&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=7&pageid=racing/local
2019-03-24,沙田,8,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=08&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=8&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=08&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=8&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=08&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=8&pageid=racing/local
2019-03-24,沙田,9,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=09&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=9&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=09&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=9&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=09&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=9&pageid=racing/local
2019-03-24,沙田,10,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-full&date=20190324&no=10&lang=chi&noPTbar=false&noLeading=false&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=10&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=passthrough&date=20190324&no=10&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=10&pageid=racing/local,https://racing.hkjc.com/contentAsset/videoplayer_v4/video-player-iframe_v4.html?type=replay-aerial&date=20190324&no=10&lang=chi&videoParam=PA&rf=http://racing.hkjc.com/zh-hk/local/information/archive/localresults?racedate=2019/03/24&RaceNo=10&pageid=racing/local
