horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
H018,595,07,12/04/26,沙田,草地,C,1400,好,5,14,18,文家良,鍾易禮,5,161,113,9 6 6 7,1.23.29,1093,B/TT
H018,444,10,19/02/26,沙田,草地,A,1200,好,5,7,20,文家良,蔡明紹,4-1/2,50,116,13 13 10,1.10.59,1101,B/TT
H018,303,10,01/01/26,沙田,草地,B+2,1600,好,5,13,23,文家良,潘明輝,8,74,120,10 9 9 10,1.36.65,1108,B/TT
H018,273,07,20/12/25,沙田,草地,C+3,1400,好,5,2,25,文家良,杜苑欣,5-1/2,34,120,6 7 7 7,1.23.00,1115,B/TT
H018,218,10,30/11/25,沙田,草地,C,1400,好,5,13,27,文家良,紀仁安,8-1/2,71,122,10 10 13 10,1.23.67,1110,B/TT
H018,141,06,02/11/25,跑馬地,草地,C,1200,好/快,5,11,29,文家良,周俊樂,4,70,122,11 10 6,1.10.25,1113,B2/TT
H018,067,12,04/10/25,沙田,草地,B+2,1400,好/快,5,5,31,文家良,何澤堯,6-3/4,65,126,9 10 12 12,1.23.22,1092,TT
H018,019,13,14/09/25,沙田,草地,B,1400,好/快,5,8,33,文家良,何澤堯,7-1/4,18,129,6 9 10 13,1.22.58,1101,TT
H018,809,08,05/07/25,沙田全天候,,,1200,好,5,2,35,文家良,梁家俊,6-1/2,27,129,5 4 8,1.10.42,1097,TT
H018,739,03,08/06/25,沙田,草地,C,1400,好/快,5,10,34,文家良,黃寶妮,1/2,63,118,10 7 6 3,1.22.72,1087,TT
H018,611,11,23/04/25,跑馬地,草地,C,1200,好,5,1,36,文家良,布文,7,12,131,5 5 11,1.10.96,1087,B-/TT
H018,554,10,02/04/25,跑馬地,草地,C+3,1200,好/快,5,2,38,文家良,蔡明紹,5-1/2,27,133,2 6 10,1.10.93,1092,B/TT
H018,418,12,12/02/25,沙田全天候,,,1200,濕慢,5,9,39,文家良,班德禮,23-3/4,46,134,12 12 12,1.14.89,1100,B2/TT
H018,400,08,05/02/25,跑馬地,草地,A,1200,好,4,4,41,文家良,巫顯東,6,81,114,10 11 8,1.10.95,1109,TT
H018,340,10,12/01/25,沙田,草地,C+3,1200,好,4,2,42,文家良,潘明輝,6,49,117,7 8 10,1.10.45,1099,TT
H018,293,11,26/12/24,跑馬地,草地,C+3,1650,好,4,10,42,文家良,潘明輝,12-1/2,69,117,8 3 5 11,1.41.94,1091,TT
H018,252,11,11/12/24,跑馬地,草地,B,1200,好,4,10,42,文家良,潘明輝,6-3/4,14,115,8 8 11,1.11.13,1086,TT
H018,159,01,06/11/24,跑馬地,草地,A,1200,好,5,6,37,文家良,潘明輝,短馬頭位,10,130,2 2 1,1.10.22,1079,TT
H018,076,07,06/10/24,沙田,草地,A,1400,好/快,5,10,39,文家良,梁家俊,3-3/4,8.9,129,1 1 2 7,1.23.06,1080,TT
H018,022,03,15/09/24,沙田,草地,A+3,1400,好/快,5,13,39,文家良,梁家俊,2-1/2,16,132,1 2 2 3,1.22.80,1076,TT
H018,682,09,19/05/24,沙田,草地,C+3,1400,好,4,3,43,文家良,希威森,5-1/4,84,119,4 5 7 9,1.23.30,1087,B-/TT
H018,619,10,28/04/24,沙田,草地,A,1200,黏,4,10,45,文家良,班德禮,8-1/4,29,120,4 4 10,1.11.00,1084,B/TT
H018,522,12,24/03/24,沙田,草地,A,1200,好,4,1,47,文家良,田泰安,6-1/4,22,124,8 8 12,1.09.75,1078,B1/TT
H018,437,11,21/02/24,跑馬地,草地,C+3,1200,好,4,7,49,文家良,湯普新,5,18,125,8 8 11,1.10.61,1087,TT
H018,396,14,04/02/24,沙田,草地,B+2,1400,好,4,13,51,文家良,艾道拿,7-1/4,54,126,4 3 4 14,1.23.82,1073,TT
H018,274,07,23/12/23,沙田,草地,C,1400,好,4,13,53,文家良,希威森,3-1/2,33,129,7 6 3 7,1.23.57,1075,TT
H018,153,06,08/11/23,跑馬地,草地,A,1200,好,4,6,55,文家良,蔡明紹,5,24,130,9 9 6,1.10.42,1066,TT
H018,102,06,22/10/23,沙田,草地,B+2,1200,好,4,6,56,文家良,梁家俊,4-1/4,14,132,6 6 6,1.10.00,1073,TT
H018,041,03,24/09/23,沙田,草地,C,1200,好,4,3,56,文家良,艾道拿,3/4,6.8,132,3 3 3,1.09.94,1069,TT
