date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,1,10,有苗頭 (D097),莫雷拉,徐雨石,119,1015,8,-,1 1 1,0:56.52,2.3
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,2,6,中華精神 (D148),田泰安,何良,123,1152,12,2,2 2 2,0:56.82,7.1
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,3,8,隨我來 (B300),黎海榮,何良,122,1041,3,3-3/4,3 5 3,0:57.12,32
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,4,9,榮彩大道 (C340),潘頓,葉楚航,121,1218,7,4-3/4,8 7 4,0:57.26,8.4
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,5,5,蒜頭本色 (D160),潘明輝,葉楚航,122,1059,2,5-1/4,10 6 5,0:57.37,5.9
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,6,1,濃有 (C244),周俊樂,文家良,125,1099,11,5-3/4,4 3 6,0:57.42,24
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,7,7,椰子糖 (D437),巫顯東,徐雨石,120,1096,10,5-3/4,11 11 7,0:57.45,47
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,8,11,奔達之星 (D244),彭國年,葉楚航,119,1164,5,6-1/4,12 12 8,0:57.50,115
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,9,12,趣怡 (D242),巴度,蘇偉賢,118,1061,9,6-1/2,7 9 9,0:57.55,10
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,10,2,鼓浪陽光 (E063),何澤堯,呂健威,129,1143,4,7-1/4,9 10 10,0:57.67,11
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,11,3,頌聖 (E171),霍宏聲,霍利時,128,1048,6,8-3/4,5 8 11,0:57.93,50
2021-09-08,跑馬地,1,11,大浪灣讓賽,第五班,1000,40-0,好地至快地,"草地 - ""B"" 賽道",780000,(12.72) (33.96) (56.52),12.72 21.24 22.56,12,4,紅酒之星 (D194),黃皓楠,丁冠豪,123,1092,1,9,6 4 12,0:57.94,21
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,1,2,木火同明 (C460),田泰安,何良,131,1071,9,-,9 8 1,1:09.21,16
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,2,9,福滿寶 (D118),史卓豐,賀賢,119,1037,5,3/4,6 6 2,1:09.33,4.7
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,3,3,管得掂 (D248),何澤堯,呂健威,130,1075,1,3/4,2 1 3,1:09.35,3.4
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,4,8,金獅大將 (E057),薛恩,大衛希斯,121,1083,3,2-1/4,8 5 4,1:09.56,10
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,5,10,極爽 (C131),黃皓楠,丁冠豪,115,1075,2,2-1/2,4 3 5,1:09.61,10
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,6,11,天意 (V417),蔡明紹,蘇保羅,115,1173,11,3-1/2,12 12 6,1:09.76,53
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,7,5,開心有利 (E160),潘頓,沈集成,126,1044,12,3-3/4,1 2 7,1:09.80,8.1
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,8,7,騰駿 (E391),班德禮,高伯新,124,1198,8,4-3/4,10 10 8,1:09.98,147
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,9,1,美麗友盈 (C124),梁家俊,文家良,131,1072,4,5-1/2,3 4 9,1:10.10,8.3
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,10,4,日日靚 (D070),霍宏聲,方嘉柏,127,1147,6,6-1/4,11 11 10,1:10.20,60
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,11,6,財照發 (E007),莫雷拉,蘇偉賢,125,1118,10,6-1/4,7 9 11,1:10.22,7.7
2021-09-08,跑馬地,2,12,舂坎角讓賽,第四班,1200,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(23.37) (45.97) (1:09.21),23.37 22.60 23.24,12,12,赤水神駒 (V364),黃俊,葉楚航,108,1182,7,7-1/4,5 7 12,1:10.37,20
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,1,6,幸福友善 (E044),潘頓,沈集成,129,1179,7,-,1 1 1 1,1:39.34,6.7
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,2,1,百勝名駒 (E230),何澤堯,呂健威,133,1102,4,1/2,7 6 6 2,1:39.43,14
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,3,2,優悠皇 (C399),田泰安,苗禮德,133,1011,8,1/2,9 8 8 3,1:39.44,9.7
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,4,7,湛江最醒 (B406),莫雷拉,蘇偉賢,122,1044,3,3-3/4,6 7 7 4,1:39.95,2.8
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,5,8,金期莊家 (D342),馬雅,鄭俊偉,121,1041,2,4-1/2,2 2 3 5,1:40.07,35
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,6,4,芙蓉莊 (B339),賀銘年,姚本輝,132,1033,12,5,8 9 9 6,1:40.14,58
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,7,5,開懷大少 (A278),巴度,文家良,129,1186,5,5,3 3 2 7,1:40.16,17
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,8,11,福星高照 (D407),梁家俊,容天鵬,117,1237,10,6,11 10 10 8,1:40.31,12
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,9,10,珍珠鳳凰 (B201),史卓豐,葉楚航,119,1036,6,6-3/4,5 4 4 9,1:40.43,4.9
2021-09-08,跑馬地,3,13,深水灣讓賽,第四班,1650,60-40,好地至快地,"草地 - ""B"" 賽道",1040000,(27.78) (51.74) (1:15.82) (1:39.34),27.78 23.96 24.08 23.52,10,12,爸巴閉 (D235),霍宏聲,霍利時,119,1086,1,7-1/4,4 5 5 10,1:40.49,19
